#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.754864    0.754864           0
           2    0.710084    0.732474   0.0158321
           3    0.713676    0.726208   0.0117294
           4    0.751796    0.732605   0.0103961
           5     0.85976    0.758036    0.024219
           6    0.584344    0.729087   0.0332519
           7    0.755916     0.73292   0.0287216
           8    0.654152    0.723074   0.0267659
           9    0.673892    0.717609   0.0243434
          10    0.708648    0.716713   0.0219255
          11    0.730764    0.717991   0.0199695
          12    0.698344    0.716353   0.0183723
          13    0.822316    0.724504   0.0186799
          14    0.763472    0.727288   0.0175518
          15    0.693492    0.725035   0.0165256
          16    0.704964     0.72378   0.0155403
          17    0.736012      0.7245   0.0146428
          18    0.642692    0.719955   0.0145175
          19    0.563256    0.711708   0.0159247
          20    0.540696    0.703157   0.0172721
          21     0.58006    0.697295   0.0174159
          22    0.564808    0.691273   0.0176348
          23    0.864476    0.698804   0.0184058
          24    0.823772    0.704011   0.0183607
          25    0.683576    0.703193   0.0176445
          26    0.598896    0.699182   0.0174158
          27    0.748308    0.701001   0.0168656
          28    0.759688    0.703097    0.016393
          29     0.70944    0.703316   0.0158292
          30    0.553728     0.69833   0.0160677
