#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     42.1882     42.1882           0
           2     49.0078      45.598     2.41107
           3     50.4263     47.2074     2.07618
           4     38.9421     45.1411     2.37212
           5     39.4421     44.0013      2.1542
           6     40.0757      43.347     1.89192
           7     36.7753     42.4082     1.83989
           8     41.5731     42.3038     1.61286
           9     42.8124     42.3603     1.43465
          10     36.6738     41.7917     1.39935
          11     37.6134     41.4118     1.32268
          12     53.1762     42.3922     1.53333
          13     47.0873     42.7534     1.45729
          14     42.8538     42.7605     1.35322
          15      39.056     42.5136     1.28534
          16     37.4682     42.1982     1.24309
          17     47.6897     42.5213     1.21121
          18     43.8427     42.5947     1.14614
          19     46.8952      42.821     1.10794
          20     45.0131     42.9306     1.05795
          21     43.6247     42.9637     1.00809
          22     40.9459      42.872    0.966432
          23      46.274     43.0199    0.935664
          24      40.245     42.9043    0.903793
          25     52.8447     43.3019    0.951093
          26     53.1713     43.6815    0.987362
          27     38.8851     43.5038    0.966641
          28     39.4185     43.3579    0.943066
          29     52.6115      43.677    0.963017
          30     43.2406     43.6625    0.931026
