#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     17.2519     17.2519           0
           2     14.2147     15.7333      1.0738
           3     13.8927     15.1198    0.873727
           4     13.9747     14.8335    0.700626
           5     15.9765     15.0621     0.59663
           6     14.4134      14.954    0.506892
           7     14.7294     14.9219    0.435493
           8     15.1041     14.9447    0.381651
           9     13.9124       14.83    0.356063
          10     14.7159     14.8186     0.32064
          11     16.2119     14.9452     0.31552
          12     17.6707     15.1723    0.361852
          13      14.701     15.1361    0.335829
          14     13.1922     14.9972    0.339334
          15     17.5686     15.1687    0.357397
          16     13.8798     15.0881    0.344018
          17      16.179     15.1523    0.329712
          18     15.6066     15.1775     0.31236
          19     12.9283     15.0591    0.317561
          20     15.9281     15.1026    0.304641
          21     13.8242     15.0417    0.296153
          22     15.1753     15.0478    0.282754
          23     14.7463     15.0347    0.270764
          24     14.7275     15.0219    0.259784
          25     14.4598     14.9994    0.250364
          26     14.3834     14.9757    0.241853
          27     13.5812     14.9241    0.238347
          28     13.4241     14.8705    0.235777
          29     16.1956     14.9162    0.232033
          30     14.7567     14.9109    0.224359
