#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.279496    0.279496           0
           2    0.319916    0.299706   0.0142906
           3    0.273248    0.290887   0.0119423
           4     0.30112    0.293445   0.0092267
           5    0.405876    0.315931    0.021424
           6     0.25474    0.305733    0.020135
           7    0.329916    0.309187   0.0175524
           8    0.248868    0.301648   0.0169004
           9    0.247248    0.295603   0.0160671
          10    0.226112    0.288654   0.0158923
          11    0.314224    0.290979   0.0146166
          12     0.22424    0.285417   0.0144178
          13     0.27658    0.284737   0.0133248
          14     0.26716    0.283482    0.012432
          15    0.383244    0.290133   0.0132634
          16    0.296568    0.290535   0.0124406
          17    0.280608    0.289951   0.0117225
          18    0.302128    0.290627   0.0110907
          19    0.224768    0.287161   0.0110354
          20    0.336564    0.289631   0.0107565
          21    0.291884    0.289738   0.0102448
          22     0.31936    0.291085  0.00986725
          23     0.31306     0.29204  0.00948439
          24    0.329624    0.293606  0.00921758
          25    0.288384    0.293397  0.00885124
          26     0.28146    0.292938  0.00852271
          27    0.299248    0.293172  0.00821026
          28     0.33642    0.294717  0.00806101
          29    0.288652    0.294507  0.00778576
          30    0.243432    0.292805  0.00771013
