#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.94078     2.94078           0
           2     2.95416     2.94747  0.00473155
           3     2.99559     2.96351   0.0134726
           4     2.95361     2.96103   0.0103295
           5     2.92731     2.95429   0.0102316
           6     2.85649     2.93799   0.0171492
           7     2.98198     2.94427   0.0158091
           8     2.94648     2.94455   0.0138353
           9      2.9573     2.94597   0.0123703
          10     3.07115     2.95849   0.0162788
          11     2.96698     2.95926   0.0148172
          12     3.09111     2.97025   0.0171802
          13     3.07274     2.97813   0.0175747
          14      3.1475     2.99023   0.0200557
          15      3.0137     2.99179   0.0187796
          16     3.12231     2.99995   0.0192965
          17     2.87174     2.99241   0.0195798
          18     3.06062      2.9962   0.0188552
          19     2.95593     2.99408   0.0179816
          20     2.77317     2.98303    0.020192
          21     2.89798     2.97898   0.0196324
          22     2.99466      2.9797    0.018753
          23     3.09318     2.98463   0.0185754
          24      2.9327     2.98247   0.0179271
          25     2.86054     2.97759    0.017861
          26     2.83587     2.97214   0.0179866
          27     3.12535     2.97781   0.0181935
          28     2.81538     2.97201   0.0184454
          29     2.89352     2.96931   0.0180068
          30     3.07608     2.97286   0.0177549
