#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.076344    0.076344           0
           2    0.050856      0.0636  0.00901137
           3    0.058032    0.061744  0.00619576
           4     0.07426    0.064873  0.00537921
           5    0.086304   0.0691592  0.00576335
           6    0.041376   0.0645287  0.00639805
           7      0.0424   0.0613674  0.00621615
           8    0.060932    0.061313  0.00543937
           9    0.061472   0.0613307  0.00483502
          10    0.055716   0.0607692    0.004384
          11    0.050372    0.059824  0.00408608
          12    0.052244   0.0591923  0.00379408
          13     0.06116   0.0593437  0.00350525
          14      0.0658   0.0598049  0.00328507
          15    0.086552    0.061588  0.00351687
          16    0.055528   0.0612093   0.0033174
          17     0.06756   0.0615828  0.00314322
          18      0.0635   0.0616893   0.0029704
          19    0.048536   0.0609971  0.00289361
          20    0.057892   0.0608418  0.00275309
          21    0.043876   0.0600339  0.00273797
          22    0.060516   0.0600558   0.0026136
          23    0.066052   0.0603165  0.00251293
          24    0.054468   0.0600728  0.00242002
          25    0.062692   0.0601776  0.00232548
          26    0.069456   0.0605345  0.00226326
          27    0.088296   0.0615627  0.00240166
          28    0.065512   0.0617037  0.00232003
          29    0.051104   0.0613382  0.00226863
          30     0.05402   0.0610943  0.00220609
