#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.316869    0.316869           0
           2    0.317518    0.317194 0.000229449
           3    0.312827    0.315738  0.00119816
           4    0.316698    0.315978 0.000922334
           5    0.320639     0.31691   0.0011133
           6    0.307825    0.315396  0.00166472
           7    0.308591    0.314424  0.00168704
           8    0.311567    0.314067  0.00151349
           9    0.316548    0.314343  0.00137021
          10    0.317612     0.31467   0.0012716
          11    0.316769     0.31486  0.00117023
          12    0.315102    0.314881  0.00107288
          13    0.315755    0.314948  0.00099246
          14    0.314794    0.314937 0.000921631
          15    0.320641    0.315317 0.000935368
          16    0.327817    0.316098   0.0011581
          17    0.316677    0.316132  0.00109047
          18    0.324393    0.316591  0.00112232
          19    0.309976    0.316243  0.00111595
          20    0.319525    0.316407  0.00107215
          21     0.31762    0.316465  0.00102265
          22    0.315898    0.316439 0.000976494
          23    0.312106    0.316251 0.000952036
          24    0.314524    0.316179 0.000915083
          25    0.311874    0.316007 0.000894534
          26    0.316447    0.316024 0.000860289
          27    0.326986     0.31643  0.00091925
          28    0.311443    0.316252 0.000903507
          29    0.324281    0.316528 0.000913792
          30    0.316585     0.31653 0.000883334
