#   N_BLOCK:  ACCEPTANCE:
           1     0.19678
           2    0.196134
           3    0.195061
           4    0.195662
           5    0.195312
           6    0.195273
           7    0.195591
           8    0.195402
           9     0.19568
          10     0.19559
          11    0.195864
          12    0.195304
          13    0.195589
          14    0.195269
          15    0.195432
          16     0.19539
          17    0.195395
          18    0.195503
          19    0.195529
          20    0.195357
          21    0.195354
          22    0.195567
          23    0.195444
          24    0.195325
          25    0.195269
          26     0.19513
          27    0.194988
          28    0.195183
          29    0.195159
          30    0.195196
