#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.189696    0.189696           0
           2    0.194072    0.191884  0.00154715
           3    0.157368    0.180379  0.00945052
           4    0.233684    0.193705   0.0135437
           5    0.165128     0.18799   0.0119804
           6    0.218876    0.193137   0.0110343
           7     0.17184    0.190095   0.0098685
           8    0.206044    0.192089  0.00883402
           9    0.217384    0.194899  0.00828752
          10      0.2238    0.197789  0.00794673
          11    0.175256    0.195741  0.00748367
          12    0.233484    0.198886  0.00749189
          13    0.224352    0.200845  0.00716712
          14    0.217016       0.202  0.00674761
          15    0.141204    0.197947   0.0074158
          16    0.200428    0.198102  0.00695394
          17    0.220784    0.199436  0.00667165
          18    0.206004    0.199801  0.00631097
          19    0.134668    0.196373  0.00684685
          20    0.207488    0.196929  0.00652702
          21    0.245552    0.199244  0.00661415
          22     0.20974    0.199721  0.00633069
          23    0.252484    0.202015  0.00645772
          24    0.197396    0.201823  0.00619152
          25    0.140548    0.199372  0.00641066
          26    0.235688    0.200769  0.00631443
          27    0.217648    0.201394  0.00611143
          28    0.166872    0.200161  0.00601624
          29     0.19796    0.200085  0.00580927
          30    0.197832     0.20001  0.00561611
