#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.42091     0.42091           0
           2    0.459369     0.44014   0.0135973
           3    0.420499    0.433593   0.0105236
           4    0.467229    0.442002   0.0107391
           5    0.450038    0.443609   0.0087107
           6    0.429074    0.441186   0.0075883
           7     0.45709    0.443458   0.0068359
           8     0.42602    0.441279  0.00631941
           9    0.450084    0.442257   0.0056925
          10    0.445908    0.442622  0.00513494
          11    0.432676    0.441718  0.00474706
          12    0.440778     0.44164  0.00435212
          13    0.399602    0.438406  0.00507848
          14    0.432612    0.437992  0.00473257
          15    0.430658    0.437503  0.00444225
          16    0.447061    0.438101  0.00420458
          17     0.45423    0.439049   0.0040629
          18    0.434642    0.438805  0.00384455
          19    0.430058    0.438344  0.00366966
          20    0.421245    0.437489  0.00358438
          21    0.468347    0.438959  0.00370266
          22    0.448697    0.439401  0.00356072
          23    0.426182    0.438827  0.00345198
          24    0.409784    0.437616  0.00351386
          25    0.449219    0.438081  0.00340382
          26    0.415819    0.437224  0.00337887
          27     0.44796    0.437622  0.00327704
          28    0.441319    0.437754  0.00316266
          29    0.419319    0.437118  0.00311684
          30    0.435797    0.437074  0.00301325
