#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.803552   -0.803552           0
           2    -0.80468   -0.804116 0.000398808
           3   -0.807424   -0.805219  0.00093876
           4   -0.801448   -0.804276  0.00107804
           5    -0.80568   -0.804557 0.000898262
           6      -0.805   -0.804631 0.000751582
           7   -0.802984   -0.804395 0.000680031
           8   -0.806216   -0.804623  0.00063196
           9   -0.802152   -0.804348 0.000618514
          10   -0.804864     -0.8044 0.000558807
          11   -0.801096     -0.8041  0.00058317
          12    -0.81156   -0.804721 0.000800041
          13     -0.8014   -0.804466 0.000778225
          14   -0.809584   -0.804831 0.000803933
          15   -0.801376   -0.804601 0.000782647
          16    -0.80608   -0.804694 0.000739169
          17   -0.804256   -0.804668 0.000696137
          18    -0.80228   -0.804535 0.000669982
          19   -0.804536   -0.804535  0.00063472
          20   -0.808128   -0.804715 0.000627891
          21   -0.804864   -0.804722 0.000598032
          22    -0.80048   -0.804529 0.000601128
          23   -0.807344   -0.804651 0.000587319
          24   -0.806944   -0.804747 0.000570562
          25   -0.806152   -0.804803 0.000550501
          26   -0.808488   -0.804945 0.000547267
          27    -0.80796   -0.805057  0.00053827
          28   -0.799152   -0.804846 0.000558829
          29   -0.805184   -0.804857 0.000539681
          30   -0.803656   -0.804817 0.000523175
