#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      5.3843      5.3843           0
           2     6.00243     5.69336    0.218542
           3     5.71814     5.70162    0.145851
           4     5.89976     5.75116    0.117499
           5     5.78899     5.75872   0.0942425
           6     5.76592     5.75992    0.078543
           7      5.4407     5.71432   0.0794664
           8     5.44989     5.68127   0.0760975
           9     5.22212     5.63025   0.0829998
          10     5.36659     5.60388   0.0787763
          11     5.41623     5.58682   0.0734389
          12     5.68572     5.59506   0.0677798
          13      5.4415     5.58325   0.0635871
          14     5.77754     5.59713   0.0605406
          15     5.67647     5.60242   0.0567352
          16     5.53299     5.59808   0.0533549
          17     5.47186     5.59066   0.0507303
          18     5.97917     5.61224   0.0523025
          19     5.57606     5.61034   0.0495844
          20     5.56601     5.60812   0.0471547
          21      5.7324     5.61404   0.0452791
          22     5.58407     5.61268   0.0432414
          23     5.52303     5.60878   0.0415366
          24       5.307      5.5962   0.0416658
          25     5.86857      5.6071    0.041399
          26     5.49971     5.60297   0.0400122
          27     5.58842     5.60243   0.0385339
          28     5.82103     5.61024   0.0379403
          29     5.65878     5.61191   0.0366689
          30     5.26825     5.60045   0.0371929
