#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.109752    0.109752           0
           2    0.111488     0.11062 0.000613769
           3    0.112468    0.111236 0.000648381
           4    0.098196    0.107976  0.00286482
           5    0.113288    0.109038  0.00248104
           6    0.127476    0.112111  0.00348479
           7     0.10654    0.111315  0.00307651
           8    0.125404    0.113077  0.00315599
           9    0.112536    0.113016   0.0028059
          10    0.138956     0.11561  0.00352604
          11      0.0721    0.111655  0.00494962
          12    0.088728    0.109744  0.00489202
          13    0.157644    0.113429   0.0057379
          14    0.106172    0.112911  0.00535141
          15    0.092128    0.111525   0.0051709
          16    0.129056    0.112621  0.00496244
          17    0.072084    0.110236  0.00521204
          18    0.147348    0.112298  0.00531465
          19    0.097864    0.111538  0.00508894
          20    0.116308    0.111777  0.00484008
          21    0.092052    0.110838  0.00469985
          22    0.122736    0.111378  0.00451723
          23     0.13958    0.112605  0.00448416
          24    0.112504      0.1126  0.00429732
          25    0.094976    0.111895  0.00418286
          26    0.142288    0.113064  0.00418213
          27    0.127692    0.113606  0.00406217
          28    0.106356    0.113347  0.00392534
          29    0.142804    0.114363   0.0039192
          30    0.111876     0.11428  0.00378944
