#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.716048   -0.716048           0
           2   -0.724896   -0.720472  0.00312824
           3   -0.724912   -0.721952   0.0024103
           4   -0.719904    -0.72144  0.00186131
           5    -0.71912   -0.720976   0.0015458
           6   -0.721752   -0.721105  0.00129357
           7   -0.720328   -0.720994  0.00111353
           8   -0.722504   -0.721183 0.000990199
           9   -0.720712   -0.721131 0.000881559
          10   -0.724024    -0.72142 0.000839542
          11   -0.717896     -0.7211 0.000822075
          12   -0.719352   -0.720954 0.000766361
          13   -0.721464   -0.720993 0.000708413
          14   -0.722192   -0.721079 0.000662967
          15   -0.719208   -0.720954 0.000630392
          16   -0.718552   -0.720804 0.000608608
          17   -0.718344   -0.720659  0.00058976
          18    -0.72064   -0.720658 0.000556996
          19   -0.719928    -0.72062 0.000529005
          20   -0.721056   -0.720642 0.000503004
          21   -0.721592   -0.720687 0.000481083
          22   -0.720816   -0.720693 0.000459251
          23    -0.72196   -0.720748 0.000442577
          24   -0.720056   -0.720719 0.000425074
          25   -0.725792   -0.720922 0.000453929
          26    -0.72072   -0.720914 0.000436536
          27   -0.716832   -0.720763 0.000445782
          28   -0.721952   -0.720805 0.000431879
          29   -0.724032   -0.720917  0.00043108
          30     -0.7198   -0.720879 0.000418315
