#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554248   -0.554248           0
           2   -0.556256   -0.555252 0.000709935
           3   -0.553544   -0.554683 0.000663398
           4   -0.552008   -0.554014 0.000763473
           5   -0.552576   -0.553726 0.000662738
           6   -0.557512   -0.554357 0.000797963
           7   -0.557256   -0.554771 0.000784086
           8   -0.554992   -0.554799  0.00068656
           9   -0.555264   -0.554851 0.000612217
          10   -0.557856   -0.555151  0.00062039
          11   -0.553256   -0.554979 0.000587428
          12   -0.552464   -0.554769 0.000574646
          13   -0.556232   -0.554882 0.000541345
          14   -0.555424   -0.554921 0.000504061
          15     -0.5538   -0.554846  0.00047596
          16   -0.554864   -0.554847 0.000446214
          17   -0.552848   -0.554729 0.000435184
          18     -0.5542     -0.5547    0.000412
          19   -0.555832    -0.55476   0.0003946
          20   -0.551616   -0.554602 0.000404966
          21   -0.554272   -0.554587 0.000385987
          22     -0.5544   -0.554578 0.000368536
          23   -0.556496   -0.554662 0.000361823
          24   -0.555408   -0.554693 0.000348081
          25   -0.555152   -0.554711 0.000334642
          26   -0.556224   -0.554769 0.000326791
          27   -0.552656   -0.554691 0.000323925
          28   -0.551104   -0.554563 0.000336737
          29    -0.55184   -0.554469 0.000337961
          30   -0.555432   -0.554501 0.000328217
