#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.056712    0.056712           0
           2    0.038412    0.047562  0.00647003
           3    0.034784   0.0433027  0.00554072
           4     0.05718    0.046772  0.00512794
           5    0.063192    0.050056  0.00504549
           6    0.035232   0.0475853   0.0047713
           7    0.032772   0.0454691  0.00453476
           8    0.050348    0.046079  0.00400871
           9    0.045568   0.0460222   0.0035637
          10    0.044976   0.0459176  0.00320887
          11    0.034516   0.0448811  0.00308001
          12    0.039096    0.044399  0.00286082
          13    0.044236   0.0443865  0.00264079
          14    0.036764    0.043842  0.00250766
          15    0.065256   0.0452696  0.00271662
          16    0.042356   0.0450875  0.00255293
          17      0.0466   0.0451765   0.0024043
          18    0.053092   0.0456162   0.0023106
          19    0.037704   0.0451998   0.0022262
          20    0.044156   0.0451476   0.0021155
          21    0.024488   0.0441638  0.00223182
          22    0.042996   0.0441107    0.002131
          23    0.041384   0.0439922  0.00204165
          24     0.03818     0.04375  0.00197089
          25     0.05184   0.0440736  0.00191844
          26    0.045972   0.0441466  0.00184604
          27    0.051912   0.0444342  0.00179993
          28     0.05284   0.0447344  0.00176051
          29    0.032004   0.0442954  0.00175367
          30    0.036596   0.0440388   0.0017139
