#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.1142      2.1142           0
           2     2.19935     2.15677   0.0301051
           3     2.20503     2.17286   0.0239845
           4     2.15544      2.1685   0.0183794
           5     2.19553     2.17391    0.015478
           6     2.11572     2.16421   0.0156443
           7     2.21713     2.17177   0.0151261
           8     2.13519      2.1672   0.0139093
           9     2.13423     2.16353   0.0128372
          10     2.28991     2.17617   0.0166502
          11     2.17352     2.17593   0.0151383
          12     2.17318      2.1757   0.0138785
          13      2.2297     2.17986    0.013418
          14     2.25879     2.18549   0.0135926
          15     2.16932     2.18442   0.0127292
          16     2.16161     2.18299   0.0120131
          17     2.14714     2.18088   0.0114901
          18     2.23185     2.18371   0.0111953
          19     2.23113     2.18621   0.0108807
          20     2.14709     2.18425    0.010511
          21     2.14912     2.18258   0.0101427
          22     2.13024      2.1802  0.00995684
          23     2.20606     2.18132  0.00958721
          24     2.18929     2.18166  0.00919348
          25     2.08507     2.17779  0.00960327
          26     2.08102     2.17407  0.00992911
          27     2.17658     2.17416   0.0095618
          28     2.10422     2.17167  0.00954098
          29     2.16396      2.1714  0.00921568
          30     2.19425     2.17216   0.0089399
