#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.7057     15.7057           0
           2     15.2153     15.4605    0.173407
           3     15.4614     15.4608    0.115605
           4      14.796     15.2946    0.168041
           5     15.5624     15.3482    0.142714
           6     15.3038     15.3408    0.119119
           7     15.4764     15.3602    0.103667
           8     16.3319     15.4816    0.145393
           9     15.3166     15.4633    0.130389
          10     16.4573     15.5627    0.150544
          11     15.4959     15.5566    0.136981
          12     17.3256      15.704    0.188908
          13     14.4394     15.6068    0.197843
          14      14.742      15.545    0.193113
          15     15.4808     15.5407    0.180286
          16     17.4017      15.657    0.203102
          17     15.2513     15.6332    0.192552
          18     13.8191     15.5324    0.206552
          19     14.4892     15.4775    0.202846
          20      15.613     15.4843    0.192817
          21     14.3668      15.431    0.190836
          22     16.9343     15.4994     0.19401
          23     15.0248     15.4787    0.186669
          24     12.8995     15.3713    0.207534
          25      16.051     15.3985    0.201006
          26     15.0635     15.3856    0.193687
          27     14.3404     15.3469    0.190342
          28     14.7171     15.3244    0.184868
          29     16.0272     15.3486    0.180075
          30     14.7462     15.3285    0.175188
