#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.850424   -0.850424           0
           2   -0.848944   -0.849684 0.000523259
           3   -0.848864   -0.849411 0.000414121
           4   -0.845432   -0.848416  0.00091569
           5   -0.849336     -0.8486 0.000750811
           6   -0.847464   -0.848411 0.000649109
           7   -0.849528    -0.84857  0.00057567
           8    -0.85392   -0.849239 0.000803123
           9   -0.850784   -0.849411 0.000732004
          10   -0.850912   -0.849561 0.000674024
          11   -0.846768   -0.849307 0.000658834
          12    -0.85764   -0.850001 0.000898205
          13   -0.850248    -0.85002 0.000829313
          14   -0.849408   -0.849977 0.000771229
          15   -0.843624   -0.849553 0.000827968
          16   -0.851624   -0.849683 0.000786271
          17   -0.847392   -0.849548 0.000751476
          18    -0.84544    -0.84932 0.000743571
          19    -0.84968   -0.849339 0.000704678
          20   -0.847976    -0.84927 0.000672729
          21   -0.848272   -0.849223 0.000642372
          22   -0.852504   -0.849372 0.000630249
          23   -0.849272   -0.849368 0.000602862
          24   -0.845624   -0.849212 0.000597582
          25    -0.84908   -0.849206 0.000573702
          26   -0.849048     -0.8492 0.000551669
          27   -0.844328    -0.84902 0.000559974
          28    -0.84736   -0.848961 0.000543104
          29    -0.85012   -0.849001 0.000525845
          30   -0.845656   -0.848889 0.000520001
