#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439961    0.439961           0
           2     0.46155    0.450756  0.00763301
           3    0.435362    0.445624  0.00659153
           4    0.476445    0.453329  0.00830459
           5    0.440341    0.450732  0.00703827
           6    0.434598    0.448043  0.00635818
           7    0.472358    0.451516  0.00632796
           8    0.430362    0.448872  0.00606434
           9    0.464514     0.45061  0.00563408
          10    0.455198    0.451069  0.00508932
          11    0.455021    0.451428  0.00463932
          12     0.43744    0.450262  0.00439672
          13    0.431145    0.448792   0.0042974
          14    0.432385     0.44762  0.00414716
          15    0.448624    0.447687  0.00387122
          16    0.480894    0.449762  0.00414848
          17    0.448731    0.449702  0.00390489
          18    0.432488    0.448745  0.00380325
          19    0.439479    0.448258  0.00363421
          20     0.44688    0.448189  0.00345316
          21    0.421754     0.44693  0.00351067
          22    0.471835    0.448062  0.00352889
          23    0.435434    0.447513  0.00341791
          24    0.412979    0.446074  0.00356554
          25    0.428509    0.445371  0.00349146
          26    0.409054    0.443975  0.00362584
          27    0.442387    0.443916  0.00349202
          28    0.440868    0.443807    0.003369
          29    0.450349    0.444033  0.00326037
          30    0.440251    0.443906  0.00315413
