#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.284116    0.284116           0
           2    0.320068    0.302092    0.012711
           3    0.290484    0.298223  0.00904374
           4    0.252016    0.286671   0.0120867
           5    0.256364     0.28061   0.0110855
           6    0.320764    0.287302   0.0110753
           7    0.281768    0.286511   0.0095213
           8    0.358284    0.295483   0.0118252
           9    0.301196    0.296118   0.0105283
          10    0.332756    0.299782   0.0100929
          11    0.341864    0.303607  0.00987382
          12    0.262316    0.300166  0.00963192
          13    0.321564    0.301812  0.00903055
          14     0.18302    0.293327    0.011712
          15     0.17732    0.285593   0.0132407
          16    0.272964    0.284804   0.0124367
          17    0.341616    0.288146   0.0121458
          18    0.307764    0.289236   0.0115198
          19     0.25036     0.28719   0.0110938
          20    0.249056    0.285283   0.0107017
          21    0.252544    0.283724    0.010305
          22    0.310984    0.284963   0.0099108
          23    0.276684    0.284603  0.00948643
          24    0.247596    0.283061  0.00921563
          25    0.259196    0.282107   0.0088963
          26     0.27172    0.281707   0.0085631
          27    0.266644    0.281149  0.00826411
          28    0.256832    0.280281  0.00801446
          29    0.273388    0.280043  0.00774163
          30    0.251244    0.279083  0.00754285
