#   N_BLOCK:  ACCEPTANCE:
           1    0.150008
           2    0.150916
           3    0.151235
           4    0.151945
           5    0.151761
           6     0.15196
           7     0.15177
           8    0.151062
           9    0.150791
          10    0.150624
          11    0.150886
          12    0.150186
          13    0.150173
          14    0.150238
          15    0.150653
          16    0.150552
          17    0.150662
          18     0.15086
          19    0.150847
          20    0.150922
          21    0.150988
          22    0.150829
          23    0.150819
          24    0.150926
          25    0.150913
          26    0.150887
          27    0.151049
          28    0.151118
          29    0.151087
          30    0.151188
