#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.52122     3.52122           0
           2     3.57695     3.54909   0.0197011
           3     3.73609     3.61142    0.052564
           4     3.70664     3.63523   0.0444878
           5     3.57612      3.6234   0.0371278
           6     3.65603     3.62884   0.0313355
           7     3.57624     3.62133   0.0277454
           8     3.51569     3.60812   0.0272387
           9     3.61215     3.60857   0.0242158
          10     3.63531     3.61124   0.0219414
          11     3.60318     3.61051   0.0199589
          12     3.64473     3.61336   0.0184982
          13     3.70712     3.62057   0.0184277
          14     3.74807     3.62968   0.0192306
          15     3.63879     3.63029   0.0179581
          16     3.75951     3.63837   0.0185633
          17     3.45958     3.62785   0.0202324
          18     3.54604      3.6233   0.0196122
          19     3.66725     3.62562   0.0187159
          20       3.253     3.60699   0.0254141
          21     3.31255     3.59296   0.0278039
          22     3.46022     3.58693   0.0271869
          23     3.78195     3.59541   0.0272951
          24      3.5121     3.59194   0.0263775
          25     3.45418     3.58643   0.0258916
          26     3.42758     3.58032   0.0256065
          27     3.74795     3.58653   0.0253996
          28     3.34778       3.578   0.0258842
          29     3.53114     3.57638    0.025042
          30     3.72058     3.58119   0.0246643
