#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.093448    0.093448           0
           2    0.075024    0.084236  0.00651387
           3    0.072904   0.0804587  0.00532636
           4    0.090688    0.083016  0.00456762
           5    0.106936      0.0878  0.00562688
           6    0.047124   0.0810207  0.00776446
           7    0.051412   0.0767909   0.0077219
           8    0.092236   0.0787215  0.00699385
           9    0.071832    0.077956  0.00625851
          10    0.075364   0.0776968  0.00563802
          11    0.070392   0.0770327  0.00516444
          12    0.063344    0.075892  0.00485842
          13    0.070312   0.0754628  0.00450361
          14     0.08048   0.0758211  0.00419616
          15    0.097976   0.0772981  0.00416826
          16    0.068856   0.0767705    0.003941
          17    0.075936   0.0767214  0.00370948
          18      0.0667   0.0761647  0.00354493
          19    0.065024   0.0755783   0.0034065
          20    0.069156   0.0752572  0.00325128
          21    0.048948   0.0740044  0.00332909
          22    0.076532   0.0741193  0.00317975
          23     0.07056   0.0739645  0.00304526
          24    0.072116   0.0738875  0.00291935
          25    0.083888   0.0742875  0.00282985
          26    0.082332   0.0745969  0.00273787
          27    0.098948   0.0754988  0.00278105
          28     0.07888   0.0756196  0.00268435
          29    0.062528   0.0751681  0.00262947
          30    0.059468   0.0746448  0.00259338
