#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.334875    0.334875           0
           2    0.349543    0.342209  0.00518569
           3    0.340747    0.341722  0.00347993
           4    0.348068    0.343308  0.00294948
           5    0.341201    0.342887  0.00238951
           6     0.33373    0.341361  0.00243026
           7    0.343815    0.341711  0.00210823
           8    0.337215    0.341149  0.00191817
           9     0.34048    0.341075  0.00170648
          10    0.346412    0.341609  0.00161714
          11    0.352251    0.342576   0.0017356
          12    0.347039    0.342948  0.00163033
          13    0.340534    0.342762  0.00151546
          14    0.325434    0.341525  0.00184465
          15    0.341773    0.341541  0.00172175
          16    0.358159     0.34258  0.00190179
          17    0.342225    0.342559  0.00179003
          18    0.346066    0.342754  0.00170116
          19    0.337868    0.342497  0.00163094
          20    0.341056    0.342425  0.00155099
          21    0.345633    0.342577  0.00148464
          22    0.347477      0.3428  0.00143376
          23    0.330929    0.342284  0.00146137
          24    0.329024    0.341731   0.0015013
          25    0.341582    0.341725  0.00144126
          26    0.345795    0.341882  0.00139429
          27    0.350059    0.342185  0.00137515
          28     0.33965    0.342094  0.00132902
          29    0.349315    0.342343  0.00130631
          30    0.345595    0.342452  0.00126725
