#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646008   -0.646008           0
           2   -0.650424   -0.648216  0.00156129
           3   -0.645784   -0.647405   0.0012335
           4   -0.646384    -0.64715 0.000951182
           5   -0.646416   -0.647003 0.000772191
           6    -0.65076   -0.647629 0.000860688
           7   -0.648168   -0.647706 0.000741165
           8   -0.648192   -0.647767 0.000651001
           9    -0.64948   -0.647957 0.000605853
          10    -0.64772   -0.647934 0.000545733
          11   -0.646632   -0.647815 0.000508787
          12     -0.6448   -0.647564  0.00052478
          13   -0.649784   -0.647735 0.000511443
          14   -0.648504    -0.64779 0.000477854
          15   -0.644672   -0.647582 0.000489115
          16   -0.648568   -0.647644 0.000462413
          17   -0.644816   -0.647477 0.000464161
          18   -0.642448   -0.647198 0.000515654
          19   -0.646416   -0.647157 0.000490153
          20   -0.642992   -0.646948 0.000507955
          21   -0.649608   -0.647075 0.000499305
          22   -0.643288   -0.646903 0.000505412
          23   -0.648032   -0.646952 0.000485816
          24   -0.648816    -0.64703 0.000471741
          25   -0.646984   -0.647028 0.000452875
          26   -0.648456   -0.647083 0.000438775
          27   -0.645336   -0.647018 0.000427267
          28      -0.642   -0.646839  0.00044802
          29   -0.643736   -0.646732 0.000445164
          30   -0.645672   -0.646697 0.000431725
