#   N_BLOCK:  ACCEPTANCE:
           1      0.1063
           2    0.106701
           3    0.105139
           4    0.106692
           5    0.107331
           6    0.108153
           7    0.109225
           8    0.109337
           9    0.108946
          10    0.108495
          11    0.108813
          12    0.107931
          13    0.108172
          14    0.108257
          15    0.108272
          16     0.10839
          17    0.108356
          18    0.108013
          19    0.107763
          20    0.107538
          21    0.107735
          22    0.107745
          23     0.10746
          24    0.107307
          25    0.107549
          26    0.107622
          27     0.10774
          28    0.107921
          29    0.107963
          30     0.10796
