#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.9134     23.9134           0
           2     23.3052     23.6093    0.215025
           3     25.8032     24.3406    0.614067
           4     24.0567     24.2696    0.464632
           5     22.8224     23.9802    0.452971
           6     22.1096     23.6684    0.472741
           7     20.8033     23.2591    0.554784
           8     23.5521     23.2958    0.486643
           9     25.8946     23.5845    0.511112
          10     24.3131     23.6574    0.465165
          11     22.4355     23.5463    0.435938
          12     28.3196     23.9441     0.55202
          13     22.8335     23.8586    0.516126
          14     24.8948     23.9326    0.484537
          15     24.7016     23.9839    0.454938
          16     22.2648     23.8765    0.439009
          17     24.9681     23.9407    0.417855
          18     27.3402     24.1295    0.435233
          19     26.9028     24.2755    0.436115
          20     27.3896     24.4312     0.44123
          21     23.9018      24.406    0.420938
          22     24.4235     24.4068    0.401806
          23     25.5832     24.4579    0.387578
          24     26.3094     24.5351    0.379028
          25     21.2726     24.4046    0.385679
          26     22.4877     24.3309    0.377826
          27     22.6396     24.2682    0.368989
          28     22.4889     24.2047    0.361241
          29     24.7712     24.2242    0.349312
          30     25.7732     24.2758    0.341463
