#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.49512     0.49512           0
           2        0.48     0.48756  0.00534573
           3    0.486952    0.487357  0.00356766
           4     0.40542    0.466873   0.0179406
           5    0.529148    0.479328   0.0181685
           6    0.475872    0.478752   0.0151496
           7     0.47188     0.47777   0.0130171
           8    0.474624    0.477377   0.0113959
           9     0.42656    0.471731   0.0114433
          10    0.546892    0.479247   0.0125265
          11    0.474652    0.478829   0.0113947
          12      0.4808    0.478993   0.0104463
          13      0.4764    0.478794  0.00964463
          14    0.461528    0.477561  0.00903423
          15    0.426964    0.474187  0.00903975
          16     0.45472    0.472971  0.00855626
          17    0.376956    0.467323  0.00974026
          18    0.423244    0.464874  0.00950198
          19    0.369756    0.459868   0.0102361
          20    0.483872    0.461068  0.00979437
          21    0.423432    0.459276  0.00949052
          22     0.46492    0.459532   0.0090626
          23    0.333624    0.454058   0.0101887
          24    0.493416    0.455698  0.00989523
          25    0.474888    0.456466  0.00952915
          26    0.420464    0.455081   0.0092627
          27    0.347564    0.451099  0.00973806
          28    0.423808    0.450124  0.00943892
          29    0.370512    0.447379  0.00950428
          30     0.39596    0.445665  0.00934074
