#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.437325    0.437325           0
           2    0.432281    0.434803  0.00178333
           3     0.41161    0.427072  0.00642341
           4    0.473265     0.43862   0.0111008
           5    0.416334    0.434163   0.0097345
           6    0.420001    0.431803  0.00839337
           7    0.412919    0.429105  0.00761553
           8    0.439943     0.43046  0.00678302
           9    0.450753    0.432715  0.00639315
          10    0.406985    0.430142  0.00625016
          11    0.422817    0.429476  0.00571733
          12     0.43623    0.430039  0.00526852
          13     0.42113    0.429353  0.00490761
          14     0.44785    0.430674  0.00473156
          15    0.407174    0.429108  0.00466829
          16    0.406786    0.427713  0.00458024
          17    0.447874    0.428899  0.00446171
          18     0.43645    0.429318  0.00423352
          19     0.44351    0.430065  0.00407606
          20    0.462693    0.431697  0.00418602
          21     0.41754    0.431022   0.0040406
          22    0.420854     0.43056  0.00388328
          23    0.425229    0.430328  0.00372136
          24    0.418166    0.429822  0.00360064
          25    0.395199    0.428437  0.00371342
          26    0.435015     0.42869   0.0035792
          27    0.414604    0.428168  0.00348445
          28    0.421765    0.427939   0.0033675
          29    0.438295    0.428296  0.00327026
          30    0.436315    0.428564  0.00317216
