#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.955192   -0.955192           0
           2     -0.9654   -0.960296  0.00360907
           3   -0.964616   -0.961736  0.00267796
           4   -0.965432    -0.96266  0.00216201
           5   -0.968496   -0.963827  0.00202025
           6    -0.96464   -0.963963  0.00168808
           7   -0.975584   -0.965623  0.00211094
           8   -0.969424   -0.966098   0.0018998
           9   -0.959216   -0.965333  0.00183616
          10    -0.96712   -0.965512  0.00166121
          11   -0.962632    -0.96525  0.00153069
          12   -0.979112   -0.966405   0.0017866
          13   -0.978808   -0.967359  0.00188679
          14    -0.96844   -0.967437  0.00175359
          15   -0.972384   -0.967766  0.00166742
          16   -0.984288   -0.968799  0.00185559
          17   -0.980208    -0.96947  0.00186386
          18     -0.9626   -0.969088  0.00179896
          19   -0.980464   -0.969687  0.00180116
          20   -0.973136    -0.96986  0.00171933
          21    -0.96972   -0.969853  0.00163747
          22   -0.972768   -0.969985   0.0015684
          23    -0.96952   -0.969965  0.00150033
          24   -0.972984   -0.970091  0.00144308
          25   -0.972728   -0.970196  0.00138921
          26   -0.974368   -0.970357  0.00134501
          27   -0.967712   -0.970259  0.00129876
          28    -0.97564   -0.970451  0.00126651
          29   -0.980704   -0.970805  0.00127123
          30    -0.96936   -0.970757  0.00122977
