#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.496881    0.496881           0
           2    0.354616    0.425748   0.0502981
           3    0.416347    0.422614   0.0336296
           4    0.356595    0.406109   0.0289908
           5    0.370844    0.399056   0.0240353
           6    0.383022    0.396384   0.0201775
           7     0.30394    0.383178   0.0211804
           8    0.365726    0.380996   0.0186448
           9    0.393093     0.38234   0.0166215
          10    0.370021    0.381108    0.015005
          11    0.404887     0.38327   0.0137957
          12     0.28509    0.375088   0.0148756
          13    0.311972    0.370233    0.014502
          14    0.414041    0.373362   0.0137996
          15    0.340015    0.371139   0.0130575
          16    0.221731    0.361801   0.0152184
          17    0.274423    0.356661   0.0151664
          18    0.386744    0.358333   0.0144156
          19    0.264917    0.353416   0.0144711
          20    0.334129    0.352452   0.0137796
          21    0.367408    0.353164   0.0131418
          22     0.31786    0.351559   0.0126421
          23     0.35589    0.351747   0.0120938
          24    0.322635    0.350534   0.0116506
          25    0.318064    0.349236   0.0112567
          26    0.360376    0.349664   0.0108319
          27    0.359049    0.350012   0.0104363
          28     0.29335    0.347988   0.0102579
          29    0.312861    0.346777  0.00997544
          30    0.343438    0.346665  0.00964355
