#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.233205    0.233205           0
           2    0.238236    0.235721  0.00177871
           3    0.231575    0.234339  0.00163693
           4    0.232064     0.23377  0.00132277
           5    0.232281    0.233472  0.00109123
           6    0.226545    0.232318  0.00139197
           7     0.22462    0.231218  0.00156848
           8     0.22564    0.230521  0.00151954
           9    0.227538    0.230189  0.00138636
          10     0.22326    0.229496  0.00141029
          11    0.223089    0.228914  0.00139721
          12    0.234714    0.229397   0.0013618
          13    0.238793     0.23012  0.00143609
          14    0.219725    0.229378  0.00151334
          15    0.228281    0.229304  0.00141421
          16    0.239474     0.22994   0.0014617
          17    0.231546    0.230035  0.00137877
          18    0.234878    0.230304  0.00132816
          19     0.22971    0.230272  0.00125862
          20    0.230157    0.230267  0.00119571
          21    0.232385    0.230367  0.00114301
          22     0.22589    0.230164  0.00110903
          23    0.232129    0.230249   0.0010641
          24    0.233029    0.230365  0.00102604
          25     0.22948     0.23033  0.00098561
          26    0.231309    0.230367 0.000948421
          27    0.232502    0.230446 0.000916583
          28    0.222939    0.230178 0.000922228
          29    0.226284    0.230044 0.000900151
          30    0.236415    0.230256 0.000894845
