#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504864   -0.504864           0
           2   -0.505856    -0.50536 0.000350725
           3   -0.503448   -0.504723 0.000570496
           4   -0.500976   -0.503786 0.000917106
           5     -0.5046   -0.503949 0.000747995
           6   -0.507344   -0.504515 0.000809553
           7   -0.507144    -0.50489 0.000776167
           8   -0.504344   -0.504822 0.000682143
           9   -0.504472   -0.504783 0.000607457
          10    -0.50664   -0.504969 0.000574392
          11   -0.504136   -0.504893  0.00052714
          12   -0.503856   -0.504807 0.000490245
          13   -0.503896   -0.504737 0.000457511
          14   -0.506032   -0.504829 0.000434088
          15      -0.505   -0.504841 0.000405298
          16   -0.503856   -0.504779 0.000384609
          17   -0.502936   -0.504671 0.000376955
          18   -0.504536   -0.504663 0.000356087
          19   -0.507128   -0.504793 0.000360204
          20   -0.499736    -0.50454 0.000421698
          21     -0.5042   -0.504524 0.000401928
          22   -0.503056   -0.504457 0.000389156
          23   -0.506736   -0.504556 0.000384643
          24   -0.505296   -0.504587  0.00036985
          25   -0.505888   -0.504639 0.000358698
          26     -0.5056   -0.504676 0.000346801
          27   -0.502616     -0.5046 0.000342246
          28   -0.502248   -0.504516 0.000340173
          29   -0.503688   -0.504487 0.000329638
          30    -0.50396    -0.50447 0.000319118
