#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.045504    0.045504           0
           2    0.031724    0.038614  0.00487197
           3    0.026396   0.0345413  0.00464834
           4    0.042152    0.036444  0.00385605
           5    0.050436   0.0392424  0.00397254
           6    0.025376   0.0369313  0.00392555
           7    0.022184   0.0348246  0.00388921
           8    0.046292    0.036258  0.00365769
           9    0.032172    0.035804  0.00327933
          10     0.03734   0.0359576    0.002955
          11    0.022112   0.0346989  0.00294224
          12    0.028112     0.03415  0.00274778
          13    0.034616   0.0341858  0.00253665
          14    0.030768   0.0339417  0.00236718
          15     0.05224   0.0351616  0.00250404
          16    0.026432    0.034616  0.00240624
          17    0.041136   0.0349995  0.00229506
          18    0.041136   0.0353404  0.00219273
          19     0.03498   0.0353215  0.00207741
          20    0.039356   0.0355232  0.00198331
          21    0.021376   0.0348495  0.00200001
          22    0.037208   0.0349567  0.00191197
          23     0.03424   0.0349256  0.00182909
          24    0.028108   0.0346415   0.0017748
          25    0.041044   0.0348976  0.00172219
          26    0.039596   0.0350783  0.00166541
          27     0.03258   0.0349858  0.00160629
          28    0.040208   0.0351723  0.00155971
          29     0.03128   0.0350381   0.0015117
          30    0.027144   0.0347749  0.00148403
