#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.62775     1.62775           0
           2     1.74076     1.68425   0.0399531
           3     1.65593     1.67481   0.0277285
           4     1.70421     1.68216   0.0217488
           5     1.70389     1.68651    0.017828
           6     1.67324      1.6843   0.0149932
           7     1.72405     1.68998   0.0138852
           8     1.61891     1.68109   0.0147196
           9     1.58474     1.67039    0.016525
          10     1.71803     1.67515   0.0155442
          11     1.66437     1.67417    0.014162
          12     1.65581     1.67264   0.0130642
          13     1.72732     1.67685   0.0127183
          14     1.67342      1.6766   0.0118122
          15       1.716     1.67923   0.0113129
          16      1.6324      1.6763   0.0109779
          17      1.7132     1.67847   0.0105445
          18     1.67641     1.67836  0.00995928
          19     1.71034     1.68004  0.00957629
          20     1.64311     1.67819  0.00927382
          21     1.66069     1.67736  0.00886957
          22     1.67233     1.67713  0.00846936
          23     1.68814     1.67761  0.00811463
          24     1.68227      1.6778  0.00777884
          25     1.62632     1.67574  0.00773548
          26     1.63628     1.67423  0.00758542
          27     1.70671     1.67543  0.00739925
          28     1.63651     1.67404   0.0072644
          29     1.60717     1.67173   0.0073708
          30     1.68814     1.67228  0.00714537
