#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.44587     2.44587           0
           2     2.47295     2.45941  0.00957705
           3     2.55497     2.49126   0.0267789
           4     2.47346     2.48681   0.0204506
           5     2.41596     2.47264   0.0206953
           6     2.42549     2.46478   0.0186785
           7     2.56681     2.47936   0.0209383
           8     2.47787     2.47917   0.0183219
           9     2.51721      2.4834   0.0167663
          10     2.60977     2.49604   0.0192721
          11     2.52374     2.49855   0.0176839
          12     2.54575     2.50249   0.0166418
          13     2.58142     2.50856   0.0164322
          14     2.65559     2.51906   0.0183097
          15     2.57913     2.52307   0.0175214
          16     2.57791     2.52649   0.0167583
          17     2.46859     2.52309   0.0161149
          18     2.57626     2.52604   0.0154881
          19     2.50513     2.52494   0.0147119
          20     2.45761     2.52157   0.0143564
          21     2.52885     2.52192    0.013677
          22     2.43635     2.51803   0.0135971
          23     2.44685     2.51494   0.0133535
          24     2.51513     2.51495   0.0127971
          25     2.36151     2.50881   0.0136779
          26     2.36317     2.50321   0.0142527
          27     2.45341     2.50136   0.0138436
          28      2.4373     2.49907   0.0135369
          29     2.51554     2.49964   0.0130821
          30      2.5469     2.50122   0.0127405
