#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582496   -0.582496           0
           2   -0.585056   -0.583776 0.000905097
           3   -0.581496   -0.583016 0.000865538
           4   -0.580464   -0.582378 0.000852457
           5   -0.581752   -0.582253 0.000691099
           6   -0.586296   -0.582927  0.00084267
           7   -0.584384   -0.583135 0.000747564
           8   -0.581912   -0.582982 0.000669564
           9   -0.583104   -0.582996 0.000595305
          10    -0.58484    -0.58318 0.000563624
          11   -0.581328   -0.583012 0.000536943
          12   -0.583136   -0.583022 0.000492298
          13   -0.585096   -0.583182 0.000479584
          14   -0.583296    -0.58319 0.000445397
          15    -0.58244    -0.58314 0.000418499
          16   -0.582496     -0.5831 0.000394272
          17   -0.581032   -0.582978 0.000389385
          18   -0.582592   -0.582956 0.000368342
          19   -0.582592   -0.582937 0.000349455
          20    -0.58092   -0.582836 0.000346233
          21   -0.584464   -0.582914 0.000338309
          22   -0.583128   -0.582924 0.000323071
          23   -0.585032   -0.583015 0.000321767
          24   -0.584088    -0.58306 0.000311449
          25   -0.581872   -0.583012 0.000302594
          26   -0.583392   -0.583027 0.000291308
          27    -0.57868   -0.582866 0.000321951
          28   -0.578912   -0.582725 0.000340016
          29   -0.579248   -0.582605 0.000348789
          30   -0.581928   -0.582582 0.000337892
