#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.059044    0.059044           0
           2    0.044732    0.051888  0.00506006
           3      0.0453    0.049692  0.00382028
           4    0.071096    0.055043  0.00544833
           5    0.075356   0.0591056  0.00567466
           6    0.039516   0.0558407  0.00558977
           7    0.035896   0.0529914   0.0054694
           8    0.055384   0.0532905  0.00479389
           9    0.053652   0.0533307   0.0042614
          10     0.03964   0.0519616  0.00404922
          11     0.04144   0.0510051   0.0037924
          12    0.051772    0.051069   0.0034769
          13     0.04932   0.0509345  0.00321205
          14    0.046236   0.0505989   0.0030001
          15    0.074596   0.0521987  0.00319833
          16    0.047288   0.0518918  0.00301312
          17    0.047812   0.0516518  0.00284542
          18    0.061796   0.0522153  0.00274258
          19    0.036432   0.0513846  0.00272114
          20      0.0508   0.0513554  0.00258524
          21    0.033528   0.0505065  0.00259778
          22     0.05392   0.0506616  0.00248432
          23    0.055184   0.0508583  0.00238408
          24    0.047216   0.0507065  0.00228957
          25    0.058492   0.0510179  0.00221906
          26     0.05406   0.0511349   0.0021368
          27    0.063228   0.0515828  0.00210407
          28     0.05408    0.051672  0.00203082
          29    0.044036   0.0514087  0.00197778
          30    0.046756   0.0512536  0.00191793
