#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.214492    0.214492           0
           2    0.187708      0.2011  0.00946957
           3    0.214772    0.205657  0.00732808
           4    0.218212    0.208796  0.00613149
           5    0.295304    0.226098   0.0162338
           6    0.191076    0.220261   0.0145397
           7    0.177228    0.214113   0.0137007
           8    0.155232    0.206753   0.0138245
           9    0.200108    0.206015   0.0123081
          10    0.111292    0.196542   0.0142639
          11     0.22058    0.198728   0.0131335
          12    0.176816    0.196902   0.0121653
          13    0.192548    0.196567   0.0112341
          14    0.169252    0.194616   0.0105997
          15    0.285348    0.200665   0.0114901
          16    0.210836      0.2013   0.0107895
          17    0.171832    0.199567   0.0102932
          18      0.1686    0.197846  0.00986404
          19    0.184716    0.197155  0.00936906
          20    0.240892    0.199342  0.00915226
          21    0.183396    0.198583  0.00874788
          22    0.186724    0.198044  0.00836684
          23    0.206332    0.198404  0.00801082
          24    0.199932    0.198468  0.00767729
          25     0.23342    0.199866  0.00749642
          26    0.197892     0.19979  0.00720848
          27    0.225048    0.200725  0.00700194
          28    0.200104    0.200703   0.0067519
          29    0.216592    0.201251  0.00654127
          30    0.192072    0.200945  0.00633038
