#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.456523    0.456523           0
           2    0.427348    0.441936   0.0103152
           3     0.42319    0.435687  0.00856267
           4    0.416381    0.430861   0.0076625
           5    0.444282    0.433545  0.00658342
           6    0.430233    0.432993  0.00550927
           7    0.466114    0.437724   0.0064412
           8    0.421933    0.435751  0.00593079
           9     0.43595    0.435773  0.00527186
          10    0.440914    0.436287  0.00476968
          11    0.439193    0.436551  0.00434338
          12    0.423108    0.435431  0.00412337
          13    0.416633    0.433985  0.00405181
          14    0.415534    0.432667  0.00397096
          15    0.441474    0.433254  0.00374939
          16    0.425871    0.432793  0.00354334
          17    0.436654     0.43302  0.00334218
          18     0.45341    0.434152  0.00334296
          19    0.422917    0.433561   0.0032189
          20    0.449794    0.434373  0.00315862
          21    0.433582    0.434335  0.00300844
          22    0.413181    0.433374  0.00302146
          23    0.407426    0.432245  0.00309354
          24    0.434102    0.432323  0.00296561
          25    0.420706    0.431858  0.00288316
          26    0.428827    0.431742  0.00277463
          27    0.452312    0.432503  0.00277449
          28    0.437886    0.432696  0.00268205
          29    0.419784     0.43225  0.00262626
          30     0.44248    0.432591  0.00256076
