#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.5239     10.5239           0
           2     10.3278     10.4259   0.0693593
           3     9.22757     10.0264    0.329393
           4     9.20957     9.82222    0.303824
           5     11.0483     10.0674    0.327386
           6     8.81164     9.85813    0.333071
           7     9.76332     9.84459    0.285764
           8     9.82506     9.84215    0.250054
           9     10.8232     9.95115    0.244879
          10     10.8524     10.0413    0.236394
          11     11.2342     10.1497    0.238485
          12     9.53167     10.0982    0.224103
          13     9.73717     10.0704    0.208579
          14     9.38975     10.0218    0.199266
          15      11.116     10.0948    0.198885
          16     10.5047     10.1204    0.188098
          17     9.92952     10.1092    0.177368
          18     11.4644     10.1844    0.182797
          19     10.5908     10.2058    0.174422
          20     9.71345     10.1812     0.16743
          21     10.4535     10.1942    0.159958
          22     9.56167     10.1654    0.155249
          23     9.75244     10.1475    0.149534
          24     10.6033     10.1665    0.144505
          25     8.60061     10.1038    0.151692
          26     9.13988     10.0668    0.150321
          27     10.2852     10.0748    0.144971
          28     11.0519     10.1097    0.143932
          29     9.86917     10.1014    0.139207
          30     10.2614     10.1068    0.134669
