#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.963216   -0.963216           0
           2    -0.98112   -0.972168  0.00633002
           3   -0.976576   -0.973637  0.00438723
           4   -0.971784   -0.973174   0.0033148
           5   -0.969624   -0.972464  0.00272682
           6     -0.9688   -0.971853  0.00233973
           7   -0.966584   -0.971101  0.00212312
           8   -0.975104   -0.971601   0.0019158
           9   -0.978328   -0.972348  0.00184298
          10   -0.971896   -0.972303  0.00165924
          11   -0.973624   -0.972423  0.00151274
          12    -0.97256   -0.972435  0.00138672
          13   -0.973088   -0.972485  0.00128096
          14   -0.964072   -0.971884  0.00132293
          15   -0.976048   -0.972162  0.00126352
          16   -0.975472   -0.972369  0.00120137
          17   -0.971832   -0.972337  0.00113112
          18    -0.97996    -0.97276  0.00114482
          19   -0.977192   -0.972994  0.00110807
          20     -0.9806   -0.973374  0.00111603
          21     -0.9786   -0.973623  0.00109027
          22    -0.97828   -0.973835  0.00106107
          23    -0.97916   -0.974066  0.00103989
          24    -0.96968   -0.973883  0.00101249
          25   -0.971824   -0.973801 0.000975339
          26   -0.972528   -0.973752 0.000939054
          27   -0.977584   -0.973894 0.000914936
          28   -0.963528   -0.973524 0.000954225
          29   -0.973104   -0.973509  0.00092143
          30   -0.985272   -0.973901  0.00097056
