#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.408299    0.408299           0
           2    0.255621     0.33196   0.0539799
           3    0.320855    0.328259   0.0361133
           4    0.329091    0.328467   0.0270856
           5    0.352164    0.333206   0.0220792
           6     0.38336    0.341565   0.0199189
           7    0.366114    0.345072   0.0173793
           8    0.327878    0.342923   0.0153393
           9    0.302481    0.338429   0.0142779
          10    0.342129    0.338799   0.0128549
          11    0.322557    0.337323   0.0117708
          12    0.356289    0.338903   0.0108955
          13    0.350253    0.339776   0.0100923
          14     0.38478    0.342991  0.00987007
          15    0.302796    0.340311   0.0095689
          16    0.319739    0.339025  0.00905682
          17    0.372129    0.340973  0.00873089
          18    0.278208    0.337486    0.008915
          19    0.292375    0.335112  0.00875624
          20    0.276344    0.332173  0.00879764
          21    0.289976    0.330164  0.00860512
          22     0.28184    0.327967  0.00848969
          23    0.288819    0.326265  0.00828945
          24    0.358348    0.327602  0.00805112
          25    0.343239    0.328227  0.00775333
          26    0.338274    0.328614  0.00746475
          27    0.275057     0.32663  0.00744716
          28    0.379207    0.328508  0.00741414
          29    0.373465    0.330058  0.00731876
          30    0.213257    0.326165  0.00804399
