#   N_BLOCK:  ACCEPTANCE:
           1    0.037096
           2    0.028093
           3   0.0266173
           4     0.02707
           5    0.027634
           6   0.0281867
           7   0.0289714
           8   0.0284825
           9     0.02772
          10    0.027776
          11   0.0276498
          12   0.0276427
          13   0.0275843
          14   0.0281814
          15   0.0278891
          16   0.0276603
          17   0.0276866
          18   0.0272476
          19   0.0270227
          20    0.026645
          21   0.0263925
          22   0.0261858
          23   0.0259399
          24   0.0261223
          25   0.0261949
          26   0.0262408
          27   0.0261065
          28   0.0265054
          29   0.0265175
          30   0.0261296
