#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0389      0.0389           0
           2     0.04946     0.04418  0.00373352
           3    0.032564    0.040308   0.0040237
           4    0.031972    0.038224  0.00351628
           5    0.040672   0.0387136  0.00284691
           6    0.034664   0.0380387  0.00245112
           7    0.030904   0.0370194  0.00230315
           8    0.043628   0.0378455  0.00215832
           9     0.03362    0.037376  0.00196891
          10    0.037272   0.0373656  0.00177204
          11    0.045308   0.0380876  0.00175189
          12    0.026504   0.0371223  0.00185285
          13    0.040676   0.0373957  0.00173037
          14    0.043916   0.0378614  0.00166827
          15    0.041664   0.0381149   0.0015762
          16    0.042152   0.0383672  0.00149775
          17     0.02894   0.0378127  0.00150882
          18    0.030648   0.0374147  0.00147656
          19     0.02996   0.0370223  0.00145004
          20    0.022728   0.0363076  0.00154366
          21     0.03382   0.0361891  0.00147469
          22    0.029252   0.0358738  0.00144098
          23     0.02532    0.035415  0.00144955
          24    0.021388   0.0348305  0.00150236
          25     0.03264   0.0347429  0.00144482
          26    0.034632   0.0347386  0.00138926
          27    0.038168   0.0348656   0.0013436
          28        0.04    0.035049  0.00130806
          29    0.043028   0.0353241  0.00129157
          30     0.02988   0.0351427   0.0012612
