#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.231745    0.231745           0
           2    0.230134     0.23094 0.000569533
           3    0.228854    0.230245 0.000682828
           4    0.226276    0.229253  0.00100021
           5    0.234627    0.230327  0.00125087
           6    0.228952    0.230098  0.00106317
           7    0.231385    0.230282 0.000927039
           8    0.223926    0.229488  0.00110014
           9    0.229125    0.229447 0.000978636
          10    0.229757    0.229478 0.000881264
          11    0.227596    0.229307 0.000817588
          12    0.227814    0.229183 0.000758871
          13    0.229825    0.229232   0.0007021
          14    0.228777      0.2292 0.000652703
          15    0.230418    0.229281 0.000614225
          16     0.22989    0.229319 0.000577016
          17    0.227579    0.229217 0.000552076
          18    0.226867    0.229086  0.00053662
          19    0.229239    0.229094 0.000508437
          20    0.229634    0.229121  0.00048373
          21    0.227892    0.229063 0.000464223
          22    0.229535    0.229084 0.000443617
          23    0.231783    0.229201 0.000439572
          24    0.236662    0.229512 0.000519691
          25    0.227077    0.229415 0.000507947
          26    0.235121    0.229634 0.000533719
          27    0.225942    0.229497 0.000531186
          28    0.233511    0.229641 0.000531204
          29    0.225327    0.229492 0.000533309
          30    0.225533     0.22936 0.000531611
