#   N_BLOCK:  ACCEPTANCE:
           1    0.496672
           2    0.495096
           3    0.494961
           4    0.495893
           5    0.496206
           6    0.495759
           7    0.495379
           8    0.495371
           9    0.495295
          10    0.495445
          11    0.495538
          12    0.495763
          13    0.495776
          14    0.495692
          15    0.495709
          16    0.495758
          17    0.495755
          18    0.495803
          19    0.495746
          20    0.495788
          21    0.495678
          22    0.495776
          23    0.495712
          24    0.495613
          25    0.495576
          26    0.495649
          27    0.495679
          28    0.495714
          29    0.495745
          30    0.495744
