#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.66736     1.66736           0
           2     1.64684      1.6571  0.00725492
           3     1.72946     1.68122   0.0202809
           4     1.60681     1.66262   0.0221555
           5     1.68785     1.66766   0.0182901
           6     1.72975     1.67801   0.0179313
           7     1.75947     1.68965   0.0187698
           8     1.70655     1.69176   0.0165421
           9     1.76864      1.7003   0.0167654
          10     1.69065     1.69934   0.0151166
          11     1.69928     1.69933   0.0137424
          12     1.58818     1.69007   0.0154057
          13     1.68078     1.68936   0.0142372
          14      1.6236     1.68466   0.0139734
          15     1.66566     1.68339   0.0130991
          16     1.66927     1.68251   0.0123101
          17     1.70931     1.68409   0.0116865
          18     1.60241     1.67955   0.0118856
          19     1.66324     1.67869    0.011291
          20     1.67773     1.67864   0.0107265
          21     1.67216     1.67833   0.0102202
          22     1.71583     1.68004  0.00989671
          23     1.63316       1.678  0.00967406
          24     1.78378     1.68241   0.0102259
          25     1.65713      1.6814   0.0098667
          26     1.68045     1.68136  0.00948728
          27     1.68388     1.68145  0.00913636
          28     1.70525      1.6823   0.0088495
          29     1.70643     1.68313  0.00858335
          30     1.64384     1.68182  0.00839658
