#   N_BLOCK:  ACCEPTANCE:
           1    0.238688
           2    0.238503
           3    0.237209
           4    0.238304
           5    0.238076
           6    0.238103
           7    0.237974
           8    0.237986
           9    0.237973
          10    0.237586
          11    0.237734
          12    0.237446
          13    0.237627
          14    0.237641
          15    0.237994
          16    0.238054
          17    0.238191
          18    0.238277
          19    0.238303
          20    0.238196
          21    0.238206
          22    0.238313
          23    0.238155
          24    0.238213
          25    0.238114
          26    0.238148
          27    0.238212
          28    0.238254
          29    0.238105
          30    0.238077
