#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.133008    0.133008           0
           2    0.136852     0.13493  0.00135906
           3      0.1344    0.134753  0.00091745
           4    0.150728    0.138747   0.0035264
           5    0.124804    0.135958   0.0037656
           6    0.126996    0.134465  0.00342146
           7    0.146728    0.136217  0.00335132
           8    0.156848    0.138796  0.00379717
           9    0.140928    0.139032  0.00338265
          10     0.14112    0.139241  0.00305082
          11    0.158092    0.140955    0.003219
          12     0.13894    0.140787  0.00295513
          13     0.16014    0.142276  0.00308004
          14    0.169396    0.144213  0.00341532
          15    0.119476    0.142564  0.00356361
          16    0.127368    0.141614  0.00346513
          17    0.150428    0.142132  0.00329986
          18    0.137244    0.141861  0.00312769
          19    0.114132    0.140401  0.00328597
          20     0.14384    0.140573  0.00312616
          21      0.1865     0.14276  0.00366325
          22     0.15436    0.143288  0.00353448
          23    0.138072    0.143061  0.00338808
          24    0.150408    0.143367  0.00326071
          25    0.118408    0.142369  0.00327956
          26    0.137264    0.142172  0.00315929
          27    0.165312    0.143029  0.00315639
          28    0.131112    0.142604  0.00307222
          29    0.147028    0.142756  0.00297007
          30     0.14754    0.142916  0.00287534
