#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409993    0.409993           0
           2    0.429864    0.419928  0.00702547
           3    0.404791    0.414882  0.00623785
           4    0.436686    0.420333  0.00664615
           5    0.432349    0.422736  0.00573493
           6    0.402915    0.419433  0.00565106
           7    0.430697    0.421042   0.0050677
           8    0.417646    0.420618  0.00445198
           9    0.416931    0.420208  0.00397611
          10    0.418603    0.420048  0.00358174
          11    0.436544    0.421547  0.00355625
          12    0.403904    0.420077  0.00355084
          13    0.414719    0.419665  0.00330153
          14    0.413996     0.41926  0.00309044
          15    0.417448    0.419139  0.00288677
          16    0.405785    0.418304  0.00282442
          17    0.433849    0.419219  0.00280239
          18    0.431004    0.419874  0.00272211
          19    0.409235    0.419314   0.0026358
          20    0.410645     0.41888   0.0025394
          21    0.422799    0.419067  0.00242532
          22    0.420559    0.419135  0.00231603
          23    0.424927    0.419387  0.00222898
          24    0.430163    0.419836  0.00218087
          25    0.409541    0.419424  0.00213215
          26    0.403325    0.418805  0.00213817
          27    0.425017    0.419035  0.00207132
          28    0.428134     0.41936  0.00202268
          29    0.413379    0.419153  0.00196341
          30    0.430238    0.419523  0.00193242
