#   N_BLOCK:  ACCEPTANCE:
           1    0.538954
           2    0.537052
           3    0.536834
           4    0.537883
           5    0.538228
           6    0.538068
           7     0.53803
           8    0.538041
           9    0.537822
          10    0.538011
          11    0.538068
          12    0.538027
          13    0.537932
          14    0.537838
          15    0.537712
          16    0.537633
          17    0.537683
          18    0.537674
          19    0.537698
          20    0.537757
          21    0.537618
          22    0.537672
          23    0.537646
          24    0.537573
          25    0.537541
          26    0.537604
          27    0.537627
          28    0.537633
          29     0.53769
          30     0.53768
