#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.031848    0.031848           0
           2    0.024484    0.028166  0.00260357
           3    0.024596    0.026976  0.00198916
           4     0.03048    0.027852  0.00167368
           5    0.020964   0.0264744  0.00181962
           6    0.016396   0.0247947  0.00215652
           7     0.02838   0.0253069   0.0019083
           8    0.031588    0.026092  0.00182414
           9    0.037932   0.0274076  0.00204145
          10    0.029268   0.0275936  0.00184576
          11    0.040688    0.028784  0.00202578
          12    0.027756   0.0286983  0.00185878
          13    0.034628   0.0291545  0.00177088
          14      0.0292   0.0291577  0.00164439
          15    0.017736   0.0283963  0.00170195
          16    0.033248   0.0286995  0.00162237
          17      0.0299   0.0287701  0.00152847
          18    0.033896   0.0290549  0.00146985
          19    0.021896   0.0286781  0.00143997
          20    0.025112   0.0284998  0.00137897
          21    0.020472   0.0281175  0.00136526
          22    0.026124   0.0280269  0.00130621
          23    0.025432   0.0279141  0.00125428
          24    0.024824   0.0277853  0.00120861
          25    0.024608   0.0276582  0.00116693
          26    0.029568   0.0277317  0.00112435
          27    0.031276    0.027863  0.00109035
          28    0.028112   0.0278719  0.00105144
          29    0.030056   0.0279472  0.00101788
          30      0.0216   0.0277356   0.0010057
