#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.203342    0.203342           0
           2    0.198918     0.20113  0.00156413
           3    0.205416    0.202558   0.0015646
           4    0.195874    0.200887  0.00186312
           5    0.198536    0.200417  0.00154871
           6    0.199708    0.200299   0.0012951
           7    0.192703    0.199214  0.00149717
           8    0.196132    0.198829  0.00135867
           9     0.19687    0.198611  0.00122501
          10    0.196024    0.198352   0.0011295
          11    0.197983    0.198319  0.00102731
          12     0.19233     0.19782  0.00105598
          13    0.197327    0.197782 0.000975427
          14    0.196308    0.197677 0.000911416
          15    0.199604    0.197805 0.000859669
          16    0.202269    0.198084 0.000850009
          17    0.195245    0.197917 0.000816253
          18    0.199442    0.198002 0.000775289
          19     0.19613    0.197903 0.000740714
          20     0.19578    0.197797 0.000711249
          21    0.192163    0.197529 0.000726225
          22    0.192715     0.19731  0.00072543
          23    0.196929    0.197293 0.000694078
          24    0.197617    0.197307 0.000665289
          25    0.195551    0.197237 0.000642373
          26    0.199939    0.197341 0.000626016
          27    0.194798    0.197246 0.000609874
          28    0.198201    0.197281 0.000589045
          29    0.195908    0.197233 0.000570631
          30    0.193648    0.197114 0.000563983
