#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36762     1.36762           0
           2     1.37355     1.37059  0.00209586
           3     1.38466     1.37528   0.0040758
           4      1.3033     1.35728   0.0158805
           5     1.34489      1.3548   0.0128963
           6     1.34066     1.35245   0.0109603
           7     1.34553     1.35146  0.00943897
           8     1.38047     1.35509  0.00892847
           9      1.3401     1.35342   0.0080901
          10        1.37     1.35508  0.00744911
          11     1.32656     1.35249    0.007209
          12     1.29982      1.3481  0.00783127
          13     1.33364     1.34699  0.00730735
          14     1.37417     1.34893   0.0070387
          15     1.44283     1.35519  0.00892935
          16     1.33608     1.35399  0.00845074
          17     1.37047     1.35496  0.00800904
          18     1.34995     1.35468  0.00756893
          19     1.33637     1.35372  0.00723169
          20       1.306     1.35133  0.00725312
          21       1.416     1.35441  0.00753302
          22      1.3618     1.35475  0.00719809
          23      1.3797     1.35583  0.00696642
          24     1.37552     1.35665  0.00672425
          25     1.36206     1.35687  0.00645875
          26     1.35418     1.35677  0.00621117
          27     1.39531     1.35819  0.00614296
          28     1.35237     1.35799  0.00592709
          29     1.34853     1.35766  0.00573166
          30     1.34916     1.35738  0.00554761
