#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.37177     4.37177           0
           2     4.63657     4.50417   0.0936209
           3     4.30921     4.43918   0.0819208
           4     4.23723     4.38869   0.0754105
           5     4.35879     4.38271   0.0605651
           6     4.46317     4.39612   0.0519342
           7     4.56821      4.4207   0.0499961
           8     4.34625      4.4114   0.0446045
           9     4.10884     4.37778   0.0507598
          10      4.2892     4.36892   0.0464503
          11     4.34079     4.36636   0.0422979
          12     4.38958      4.3683   0.0388173
          13     4.54333     4.38176    0.038095
          14     4.56773     4.39505   0.0376185
          15     4.29489     4.38837   0.0356983
          16     4.79779     4.41396   0.0416402
          17     4.30594      4.4076   0.0396726
          18     4.48513     4.41191   0.0377016
          19     4.54705     4.41902   0.0363821
          20     4.50439     4.42329   0.0348125
          21     4.41017     4.42267   0.0331603
          22     4.45836     4.42429   0.0316927
          23     4.50311     4.42772   0.0304995
          24     4.41855     4.42733   0.0292311
          25     4.51098     4.43068   0.0282527
          26     4.42729     4.43055   0.0271663
          27     4.39357     4.42918   0.0261947
          28     4.39297     4.42789   0.0252911
          29     4.55394     4.43223   0.0247897
          30     4.58191     4.43722   0.0244602
