#   N_BLOCK:  ACCEPTANCE:
           1    0.317856
           2    0.315993
           3    0.316161
           4    0.317381
           5    0.317715
           6    0.317482
           7    0.317587
           8     0.31765
           9     0.31762
          10    0.317719
          11    0.317685
          12    0.317779
          13    0.317901
          14    0.317759
          15     0.31782
          16    0.317711
          17    0.317808
          18     0.31796
          19    0.317821
          20    0.317698
          21    0.317604
          22     0.31761
          23    0.317537
          24    0.317484
          25     0.31743
          26    0.317344
          27    0.317561
          28    0.317541
          29    0.317452
          30    0.317436
