#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.081052    0.081052           0
           2    0.075736    0.078394  0.00187949
           3    0.081504   0.0794307   0.0015121
           4    0.091844    0.082534  0.00291704
           5    0.061436   0.0783144  0.00443733
           6    0.071064    0.077106   0.0038588
           7    0.099852   0.0803554  0.00447105
           8    0.086672    0.081145  0.00398127
           9    0.091876   0.0823373  0.00371316
          10    0.088664     0.08297  0.00339532
          11    0.087856   0.0834142  0.00311557
          12    0.094032    0.084299  0.00297893
          13    0.100904   0.0855763   0.0030112
          14    0.092688   0.0860843  0.00283864
          15    0.062732   0.0845275  0.00304654
          16    0.092024    0.084996  0.00289194
          17    0.079136   0.0846513  0.00274229
          18    0.067732   0.0837113  0.00274631
          19    0.069584   0.0829678  0.00270055
          20    0.076144   0.0826266  0.00258698
          21    0.087796   0.0828728  0.00247548
          22    0.078304   0.0826651  0.00237165
          23    0.088844   0.0829337   0.0022837
          24     0.09898   0.0836023  0.00228432
          25    0.094128   0.0840234  0.00223141
          26     0.10566   0.0848555  0.00229553
          27    0.073392    0.084431  0.00224943
          28     0.05798   0.0834863  0.00235913
          29    0.088348   0.0836539  0.00228373
          30    0.103068   0.0843011  0.00229747
