#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.359646    0.359646           0
           2    0.383398    0.371522  0.00839769
           3    0.364544    0.369196  0.00591178
           4    0.378034    0.371406  0.00482913
           5    0.369961    0.371117  0.00387194
           6    0.371108    0.371115  0.00322662
           7    0.355377    0.368867  0.00346151
           8    0.359969    0.367755  0.00320254
           9    0.359928    0.366885  0.00296242
          10    0.368502    0.367047  0.00267059
          11    0.368398     0.36717  0.00243063
          12    0.350422    0.365774  0.00259803
          13    0.368713       0.366    0.002408
          14    0.362444    0.365746  0.00224936
          15    0.358807    0.365283  0.00214644
          16     0.37027    0.365595  0.00203479
          17     0.37345    0.366057  0.00196686
          18     0.37319    0.366453  0.00189709
          19    0.371068    0.366696  0.00181272
          20    0.362493    0.366486  0.00173423
          21    0.374867    0.366885  0.00169694
          22    0.376069    0.367303  0.00167036
          23    0.361286    0.367041  0.00161809
          24    0.369424     0.36714  0.00155372
          25    0.389288    0.368026  0.00172576
          26     0.36303    0.367834  0.00167005
          27    0.359477    0.367525  0.00163662
          28    0.352863    0.367001  0.00165983
          29    0.374835    0.367271  0.00162443
          30    0.377001    0.367595  0.00160233
