#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         167    0.884758     1.34009   0.0167826
         168     0.87981     1.33735   0.0169049
         169    0.874993     1.33461   0.0170248
         170    0.870307     1.33188   0.0171423
         171    0.865758     1.32916   0.0172574
         172    0.861346     1.32644   0.0173701
         173    0.857073     1.32372   0.0174803
         174    0.852943     1.32102    0.017588
         175    0.848958     1.31832   0.0176931
         176    0.845118     1.31563   0.0177957
         177    0.841426     1.31295   0.0178957
         178    0.837884     1.31028   0.0179931
         179    0.834492     1.30763   0.0180878
         180    0.831251     1.30498   0.0181799
         181    0.828164     1.30235   0.0182693
         182    0.825231     1.29972   0.0183561
         183    0.822452     1.29712   0.0184401
         184    0.819829     1.29452   0.0185214
         185    0.817362     1.29194   0.0186001
         186    0.815049     1.28938   0.0186759
         187    0.812892     1.28683   0.0187491
         188    0.810889      1.2843   0.0188195
         189     0.80904     1.28178   0.0188872
         190    0.807343     1.27929   0.0189521
         191    0.805796     1.27681   0.0190143
         192    0.804398     1.27435   0.0190738
         193    0.803147     1.27191   0.0191306
         194     0.80204     1.26948   0.0191847
         195    0.801075     1.26708   0.0192361
         196     0.80025      1.2647   0.0192849
         197     0.79956     1.26234    0.019331
         198    0.799002        1.26   0.0193745
         199    0.798574     1.25768   0.0194153
         200    0.798269     1.25538   0.0194537
         201    0.798085     1.25311   0.0194895
         202    0.798017     1.25086   0.0195228
         203     0.79806     1.24863   0.0195536
         204     0.79821     1.24642    0.019582
         205    0.798461     1.24423    0.019608
         206    0.798809     1.24207   0.0196317
         207    0.799249     1.23993   0.0196531
         208    0.799775     1.23781   0.0196722
         209    0.800381     1.23572   0.0196891
         210    0.801064     1.23365   0.0197038
         211    0.801817      1.2316   0.0197164
         212    0.802634     1.22958    0.019727
         213    0.803511     1.22758   0.0197355
         214    0.804443      1.2256   0.0197421
         215    0.805424     1.22365   0.0197468
         216    0.806448     1.22172   0.0197496
         217    0.807512     1.21981   0.0197506
         218    0.808609     1.21792   0.0197499
         219    0.809735     1.21606   0.0197475
         220    0.810885     1.21422   0.0197434
         221    0.812055      1.2124   0.0197377
         222    0.813241      1.2106   0.0197306
         223    0.814437     1.20882   0.0197219
         224    0.815642     1.20707   0.0197118
         225     0.81685     1.20533   0.0197003
         226    0.818058     1.20362   0.0196876
         227    0.819264     1.20193   0.0196735
         228    0.820464     1.20025   0.0196582
         229    0.821655      1.1986   0.0196418
         230    0.822834     1.19697   0.0196242
         231    0.823999     1.19535   0.0196056
         232    0.825148     1.19376   0.0195859
         233    0.826278     1.19218   0.0195652
         234    0.827389     1.19062   0.0195436
         235    0.828478     1.18908   0.0195211
         236    0.829544     1.18756   0.0194978
         237    0.830587     1.18605   0.0194736
         238    0.831604     1.18456   0.0194486
         239    0.832596     1.18309   0.0194229
         240    0.833562     1.18163   0.0193965
         241      0.8345     1.18019   0.0193694
         242    0.835411     1.17877   0.0193417
         243    0.836294     1.17736   0.0193134
         244     0.83715     1.17596   0.0192845
         245    0.837978     1.17458   0.0192551
         246    0.838779     1.17322   0.0192251
         247    0.839553     1.17187   0.0191947
         248      0.8403     1.17053   0.0191638
         249     0.84102     1.16921   0.0191325
         250    0.841715      1.1679   0.0191008
         251    0.842386      1.1666   0.0190686
         252    0.843032     1.16532   0.0190361
         253    0.843656     1.16404   0.0190033
         254    0.844257     1.16279   0.0189702
         255    0.844836     1.16154   0.0189367
         256    0.845395      1.1603   0.0189029
         257    0.845935     1.15908   0.0188689
         258    0.846456     1.15787   0.0188347
         259    0.846959     1.15667   0.0188002
         260    0.847444     1.15548   0.0187654
         261    0.847915      1.1543   0.0187305
         262    0.848371     1.15313   0.0186954
         263    0.848814     1.15198   0.0186601
         264    0.849243     1.15083   0.0186246
         265    0.849662     1.14969   0.0185889
         266    0.850069     1.14857   0.0185531
         267    0.850467     1.14745   0.0185172
         268    0.850856     1.14634   0.0184812
         269    0.851237     1.14525    0.018445
         270     0.85161     1.14416   0.0184087
         271    0.851976     1.14308   0.0183723
         272    0.852336     1.14201   0.0183359
         273    0.852691     1.14095   0.0182993
         274     0.85304      1.1399   0.0182627
         275    0.853386     1.13886   0.0182259
         276    0.853726     1.13783   0.0181892
         277    0.854063      1.1368   0.0181523
         278    0.854396     1.13579   0.0181154
         279    0.854726     1.13478   0.0180785
         280    0.855053     1.13378   0.0180415
         281    0.855376     1.13279   0.0180045
         282    0.855696     1.13181   0.0179674
         283    0.856013     1.13083   0.0179303
         284    0.856327     1.12986   0.0178932
         285    0.856638     1.12891   0.0178561
         286    0.856944     1.12796    0.017819
         287    0.857247     1.12701   0.0177819
         288    0.857547     1.12608   0.0177447
         289    0.857842     1.12515   0.0177076
         290    0.858132     1.12423   0.0176704
         291    0.858419     1.12331   0.0176333
         292    0.858701     1.12241   0.0175962
         293    0.858979     1.12151   0.0175591
         294    0.859251     1.12062    0.017522
         295    0.859519     1.11973   0.0174849
         296    0.859781     1.11885   0.0174479
