#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         186         2.5     2.82172   0.0837638
         187        1.62     2.81529    0.083562
         188        4.58     2.82468   0.0836431
         189        3.46     2.82804   0.0832681
         190        2.02     2.82379   0.0829384
         191         4.5     2.83257   0.0829671
         192        2.02     2.82833   0.0826429
         193        3.94     2.83409   0.0824152
         194        3.38     2.83691   0.0820384
         195         2.5     2.83518   0.0816359
         196        1.94     2.83061    0.081347
         197        2.02      2.8265   0.0810381
         198        3.94     2.83212   0.0808237
         199         1.7     2.82643   0.0806175
         200        3.06      2.8276   0.0802229
         201        5.14      2.8391   0.0806445
         202        3.06      2.8402   0.0802526
         203        3.94     2.84562     0.08004
         204         4.1     2.85176   0.0798835
         205        1.06     2.84302   0.0799705
         206         1.7     2.83748   0.0797746
         207        3.06     2.83855   0.0793964
         208         4.1     2.84462    0.079246
         209         2.9     2.84488   0.0788673
         210        2.02     2.84095   0.0785895
         211        3.46     2.84389   0.0782717
         212        2.74      2.8434   0.0779041
         213        1.62     2.83765   0.0777498
         214         2.5     2.83607   0.0774025
         215         3.7     2.84009   0.0771467
         216        3.46     2.84296   0.0768429
         217        2.02     2.83917   0.0765823
         218         1.7     2.83394   0.0764091
         219        2.42     2.83205   0.0760836
         220        3.46     2.83491   0.0757912
         221         4.1     2.84063   0.0756642
         222         2.9      2.8409   0.0753238
         223         1.7     2.83578   0.0751596
         224         2.5     2.83429    0.074839
         225        1.62     2.82889   0.0747007
         226        3.46     2.83168   0.0744224
         227        3.46     2.83445    0.074146
         228        5.86     2.84772   0.0749988
         229        3.94     2.85249   0.0748228
         230        1.62     2.84713   0.0746892
         231        3.94     2.85186   0.0745155
         232        1.94     2.84793   0.0742979
         233         1.3     2.84129   0.0742755
         234        2.02     2.83778   0.0740409
         235         4.1     2.84315   0.0739204
         236        3.06     2.84407   0.0736129
         237        2.02     2.84059   0.0733844
         238         1.7      2.8358   0.0732324
         239        1.06     2.82837   0.0733019
         240         1.7     2.82367   0.0731471
         241         2.5     2.82232   0.0728559
         242         2.9     2.82264   0.0725556
         243        2.18        2.82   0.0723052
         244        1.62     2.81508   0.0721759
         245         2.9     2.81543   0.0718821
         246        2.42     2.81382   0.0716079
         247        2.42     2.81223   0.0713357
