#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         183        3.14      1.0318    0.096831
         184        9.62     1.07848    0.106964
         185        2.32     1.08519    0.106596
         186         0.4     1.08151    0.106087
         187        0.68     1.07936    0.105541
         188         1.7     1.08266    0.105031
         189        0.04     1.07714     0.10462
         190         2.9     1.08674    0.104509
         191           5     1.10723    0.105951
         192           1     1.10667    0.105401
         193        2.26     1.11264    0.105024
         194        0.34     1.10866    0.104558
         195        0.58     1.10595    0.104057
         196         0.9      1.1049    0.103531
         197         0.1      1.0998    0.103131
         198        1.22      1.1004    0.102612
         199        0.34     1.09658    0.102168
         200         1.7      1.0996    0.101701
         201        1.04      1.0993    0.101196
         202        0.58     1.09673    0.100727
         203        1.78      1.1001    0.100287
         204        0.36     1.09647   0.0998615
         205        2.02     1.10098   0.0994759
         206         7.3     1.13107    0.103445
         207        3.28     1.14145    0.103464
         208           1     1.14077    0.102969
         209        0.58     1.13809    0.102511
         210        1.48     1.13971    0.102036
         211        3.62     1.15147    0.102228
         212        1.64     1.15377    0.101771
         213        0.32     1.14986    0.101369
         214         0.9     1.14869    0.100902
         215        1.06     1.14828    0.100433
         216        0.74     1.14639   0.0999862
         217         0.8     1.14479   0.0995381
         218         0.4     1.14138   0.0991401
         219         1.3      1.1421   0.0986901
         220         1.7     1.14464   0.0982741
         221        0.08     1.13982   0.0979474
         222         0.1     1.13514   0.0976181
         223        1.06      1.1348    0.097181
         224        1.04     1.13438    0.096748
         225        0.16     1.13004   0.0964149
         226        0.34     1.12655   0.0960517
         227         0.1     1.12203   0.0957349
         228        2.56     1.12833   0.0955225
         229           2     1.13214   0.0951812
         230        0.68     1.13017   0.0947877
         231        0.04     1.12545   0.0944948
         232         2.5     1.13138    0.094273
         233        0.18      1.1273   0.0939568
         234        5.22     1.14479   0.0951693
         235        5.54     1.16349   0.0965846
         236         0.8     1.16195   0.0961876
         237         0.4     1.15873   0.0958355
         238         0.1     1.15429    0.095536
         239        0.72     1.15247   0.0951535
         240        0.34     1.14908   0.0948173
         241           1     1.14846   0.0944259
         242        1.46     1.14975   0.0940444
         243        0.04     1.14519   0.0937683
         244        0.26     1.14156   0.0934541
         245        0.32      1.1382   0.0931328
         246         1.7     1.14049   0.0927822
         247           1     1.13992   0.0924083
         248        0.04     1.13548   0.0921421
         249        0.58     1.13325    0.091799
         250        0.08     1.12904   0.0915285
         251        1.94     1.13227   0.0912208
         252        0.82     1.13103   0.0908672
         253        3.28     1.13953   0.0909042
         254        2.72     1.14575    0.090759
         255        3.28     1.15412   0.0907882
         256         0.5     1.15156   0.0904695
         257        1.62     1.15339   0.0901358
         258        2.92     1.16023   0.0900462
         259         7.3     1.18394   0.0927664
         260        5.38     1.20008    0.093803
         261         2.9     1.20659   0.0936694
         262         5.3     1.22221   0.0946059
         263        1.16     1.22198   0.0942465
         264        0.26     1.21833   0.0939599
         265           2     1.22128   0.0936516
         266        0.52     1.21865   0.0933367
         267         1.8     1.22082   0.0930125
         268        0.74     1.21903   0.0926827
         269        0.68     1.21703   0.0923598
         270        0.68     1.21504   0.0920392
         271        0.16     1.21114   0.0917819
         272        0.34     1.20794   0.0915003
         273        1.48     1.20894   0.0911705
         274        1.36     1.20949   0.0908395
         275        0.34     1.20633   0.0905642
         276        0.26      1.2029   0.0903009
         277        0.26     1.19949    0.090039
         278        0.68     1.19763   0.0897346
         279         1.3     1.19799   0.0894137
         280        0.64       1.196   0.0891165
         281        0.26     1.19267   0.0888616
         282        0.68     1.19085   0.0885651
         283           1     1.19018   0.0882547
         284         0.2     1.18669   0.0880128
         285        1.48     1.18772     0.08771
